string1,string2,match
McKinsey & Company,McKinsey & Company,1
Oracle Corporation,Oracle Corporation,1
Snapchat,Samsung Electronics,0
Citibank,General Electric,0
General Electric,Deloitte Consulting,0
Space Exploration Technologies,Space Exploration Technologies,1
McKinsey & Company,McKinsey & Company,1
John Smith,YouTube Videos,0
Amazon.com,Amazon.com,1
PayPal,Jane Doe,0
Lockheed Martin,Lockheed Martin,1
Accenture,Space Exploration Technologies,0
Tesla Energy,Tesla Energy,1
SpaceX,Morgan Stanley,0
Adobe Systems,Adobe Systems,1
Intel Corporation,Morgan Stanley,0
JP Morgan Chase,JP Morgan Chase,1
YouTube Videos,Oracle Corporation,0
AMD Inc,AMD Inc,1
John Smith,John Smith,1
Blue Origin,Netflix Streaming,0
New York City,General Electric,0
Boston Consulting Group,Boston Consulting Group,1
Snapchat,PayPal,0
Boston Dynamics,Goldman Sachs,0
AMD Inc,PayPal,0
McKinsey & Company,Berkshire Hathaway,0
Deloitte Consulting,Deloitte Consulting,1
Deloitte Consulting,Deloitte Consulting,1
Morgan Stanley,Morgan Stanley,1
Lyft Inc,Lockheed Martin,0
Cisco Systems,General Electric,0
NASA,Goldman Sachs,0
Snapchat,Pfizer Pharmaceuticals,0
Boston Consulting Group,New York City,0
JP Morgan Chase,JP Morgan Chase,1
Morgan Stanley,McKinsey & Company,0
Harvard University,Siemens,0
Jane Doe,Massachusetts Institute of Technology,0
Adobe Systems,Intel Corporation,0
JP Morgan Chase,Microsoft Corporation,0
Wall Street,Wall Street,1
Airbnb,Siemens,0
Boeing,Boeing,1
Berkshire Hathaway,YouTube Videos,0
SpaceX,SpaceX,1
Goldman Sachs,Goldman Sachs,1
Pfizer Pharmaceuticals,Boston Dynamics,0
International Business Machines,Deloitte Consulting,0
Goldman Sachs,Massachusetts Institute of Technology,0
Cisco Systems,Cisco Systems,1
Tesla Energy,Tesla Energy,1
Lockheed Martin,International Business Machines,0
California Institute of Technology,California Institute of Technology,1
Amazon.com,Airbnb,0
Jane Doe,Lockheed Martin,0
Twitter,Jane Doe,0
AMD Inc,Jane Doe,0
YouTube Videos,Adobe Systems,0
Apple Inc,International Business Machines,0
Elon Musk,Elon Musk,1
NASA,Goldman Sachs,0
Twitter,Moderna Inc,0
International Business Machines,International Business Machines,1
Snapchat,Blue Origin,0
Space Exploration Technologies,Space Exploration Technologies,1
Tesla Energy,Johnson & Johnson,0
Elon Musk,Elon Musk,1
Siemens,Boston Consulting Group,0
Goldman Sachs,Lockheed Martin,0
Deloitte Consulting,Deloitte Consulting,1
Twitter,Cisco Systems,0
Facebook Meta,AMD Inc,0
Twitter,Twitter,1
Facebook Meta,Facebook Meta,1
McKinsey & Company,McKinsey & Company,1
Microsoft Corporation,Intel Corporation,0
Boston Dynamics,Adobe Systems,0
Amazon.com,PayPal,0
Morgan Stanley,Harvard University,0
Wall Street,Apple Inc,0
Lyft Inc,Goldman Sachs,0
Facebook Meta,YouTube Videos,0
Snapchat,Snapchat,1
Lyft Inc,Lyft Inc,1
Citibank,Netflix Streaming,0
Siemens,YouTube Videos,0
Oracle Corporation,Apple Inc,0
John Smith,John Smith,1
Jane Doe,Jane Doe,1
Netflix Streaming,Netflix Streaming,1
Boston Dynamics,Boston Dynamics,1
General Electric,General Electric,1
Cisco Systems,Wall Street,0
General Electric,General Electric,1
Raytheon Technologies,Raytheon Technologies,1
Oracle Corporation,Samsung Electronics,0
McKinsey & Company,McKinsey & Company,1
PayPal,PayPal,1
PayPal,Tesla Energy,0
Facebook Meta,Facebook Meta,1
New York City,Tesla Motors,0
Spotify,Intel Corporation,0
Lockheed Martin,Lockheed Martin,1
Blue Origin,Oracle Corporation,0
Space Exploration Technologies,Boston Consulting Group,0
Accenture,NASA,0
Lockheed Martin,Lockheed Martin,1
Lyft Inc,Blue Origin,0
SpaceX,Raytheon Technologies,0
Boston Dynamics,Boston Dynamics,1
Raytheon Technologies,Samsung Electronics,0
Massachusetts Institute of Technology,Massachusetts Institute of Technology,1
Blue Origin,Johnson & Johnson,0
Massachusetts Institute of Technology,Wall Street,0
Harvard University,Harvard University,1
Boeing,Boeing,1
Samsung Electronics,Samsung Electronics,1
JP Morgan Chase,JP Morgan Chase,1
Elon Musk,Elon Musk,1
Amazon.com,Uber Technologies,0
Blue Origin,John Smith,0
Massachusetts Institute of Technology,Massachusetts Institute of Technology,1
JP Morgan Chase,JP Morgan Chase,1
Goldman Sachs,Goldman Sachs,1
NASA,Goldman Sachs,0
International Business Machines,John Smith,0
Accenture,Citibank,0
International Business Machines,McKinsey & Company,0
Netflix Streaming,Netflix Streaming,1
International Business Machines,Adobe Systems,0
Boston Consulting Group,Boston Consulting Group,1
Johnson & Johnson,PayPal,0
Moderna Inc,Moderna Inc,1
Netflix Streaming,Netflix Streaming,1
SpaceX,SpaceX,1
Adobe Systems,Adobe Systems,1
Boston Dynamics,Boston Dynamics,1
Samsung Electronics,Tesla Motors,0
John Smith,Citibank,0
Siemens,Oracle Corporation,0
John Smith,Uber Technologies,0
Oracle Corporation,Morgan Stanley,0
Amazon.com,Berkshire Hathaway,0
New York City,New York City,1
McKinsey & Company,Boston Dynamics,0
Facebook Meta,Massachusetts Institute of Technology,0
Massachusetts Institute of Technology,Massachusetts Institute of Technology,1
Wall Street,Wall Street,1
Intel Corporation,Intel Corporation,1
Jane Doe,Cisco Systems,0
International Business Machines,International Business Machines,1
Citibank,Boston Consulting Group,0
YouTube Videos,YouTube Videos,1
Siemens,Siemens,1
McKinsey & Company,John Smith,0
Accenture,Accenture,1
Tesla Energy,Tesla Motors,0
Massachusetts Institute of Technology,Massachusetts Institute of Technology,1
Space Exploration Technologies,Space Exploration Technologies,1
SpaceX,SpaceX,1
John Smith,John Smith,1
Tesla Motors,Tesla Motors,1
Tesla Energy,Lyft Inc,0
Google LLC,Accenture,0
Berkshire Hathaway,Berkshire Hathaway,1
Intel Corporation,Intel Corporation,1
Facebook Meta,Airbnb,0
California Institute of Technology,Moderna Inc,0
Boston Consulting Group,Berkshire Hathaway,0
International Business Machines,International Business Machines,1
McKinsey & Company,McKinsey & Company,1
Intel Corporation,Netflix Streaming,0
New York City,New York City,1
Citibank,Citibank,1
Oracle Corporation,Oracle Corporation,1
Moderna Inc,Adobe Systems,0
Goldman Sachs,Lyft Inc,0
NASA,NASA,1
California Institute of Technology,California Institute of Technology,1
YouTube Videos,NASA,0
Spotify,Spotify,1
Space Exploration Technologies,Uber Technologies,0
Deloitte Consulting,Deloitte Consulting,1
Samsung Electronics,YouTube Videos,0
Microsoft Corporation,Microsoft Corporation,1
Google LLC,Google LLC,1
California Institute of Technology,Oracle Corporation,0
Adobe Systems,Adobe Systems,1
NASA,Morgan Stanley,0
Harvard University,Harvard University,1
Lockheed Martin,Microsoft Corporation,0
Elon Musk,Elon Musk,1
Berkshire Hathaway,Blue Origin,0
Jane Doe,Jane Doe,1
Tesla Motors,Tesla Motors,1
Wall Street,Spotify,0
SpaceX,SpaceX,1
John Smith,John Smith,1
Spotify,General Electric,0
Tesla Motors,Siemens,0
Elon Musk,Elon Musk,1
Raytheon Technologies,Johnson & Johnson,0
Harvard University,Harvard University,1
Microsoft Corporation,Microsoft Corporation,1
Wall Street,NASA,0
Space Exploration Technologies,Uber Technologies,0
Goldman Sachs,Cisco Systems,0
Boeing,Boeing,1
Citibank,Citibank,1
Apple Inc,Apple Inc,1
Space Exploration Technologies,Space Exploration Technologies,1
Johnson & Johnson,Johnson & Johnson,1
Deloitte Consulting,Deloitte Consulting,1
Accenture,Facebook Meta,0
Oracle Corporation,Oracle Corporation,1
Lockheed Martin,Uber Technologies,0
Amazon.com,Amazon.com,1
NASA,Boston Consulting Group,0
California Institute of Technology,California Institute of Technology,1
Elon Musk,Moderna Inc,0
Samsung Electronics,Samsung Electronics,1
Massachusetts Institute of Technology,Harvard University,0
Space Exploration Technologies,International Business Machines,0
Apple Inc,Apple Inc,1
Uber Technologies,Uber Technologies,1
Berkshire Hathaway,Berkshire Hathaway,1
Goldman Sachs,Goldman Sachs,1
Uber Technologies,Uber Technologies,1
International Business Machines,Snapchat,0
Boston Dynamics,Boston Dynamics,1
Jane Doe,Twitter,0
Snapchat,Elon Musk,0
Berkshire Hathaway,Berkshire Hathaway,1
NASA,Cisco Systems,0
Oracle Corporation,Oracle Corporation,1
General Electric,General Electric,1
Johnson & Johnson,Johnson & Johnson,1
Airbnb,Snapchat,0
Moderna Inc,Moderna Inc,1
Netflix Streaming,Netflix Streaming,1
Harvard University,Harvard University,1
SpaceX,SpaceX,1
Blue Origin,NASA,0
JP Morgan Chase,JP Morgan Chase,1
Uber Technologies,Berkshire Hathaway,0
Berkshire Hathaway,Berkshire Hathaway,1
International Business Machines,Lockheed Martin,0
Raytheon Technologies,JP Morgan Chase,0
Pfizer Pharmaceuticals,Google LLC,0
Moderna Inc,Lyft Inc,0
Goldman Sachs,Intel Corporation,0
Berkshire Hathaway,Boston Consulting Group,0
Twitter,AMD Inc,0
Amazon.com,Amazon.com,1
Goldman Sachs,Goldman Sachs,1
Snapchat,Snapchat,1
Jane Doe,Jane Doe,1
Jane Doe,Jane Doe,1
Moderna Inc,Apple Inc,0
Deloitte Consulting,Deloitte Consulting,1
Morgan Stanley,Morgan Stanley,1
McKinsey & Company,Blue Origin,0
Amazon.com,Morgan Stanley,0
Deloitte Consulting,Space Exploration Technologies,0
Raytheon Technologies,Blue Origin,0
Facebook Meta,AMD Inc,0
Airbnb,International Business Machines,0
NASA,NASA,1
Spotify,Spotify,1
International Business Machines,International Business Machines,1
Pfizer Pharmaceuticals,John Smith,0
JP Morgan Chase,JP Morgan Chase,1
General Electric,Google LLC,0
Johnson & Johnson,Johnson & Johnson,1
Twitter,California Institute of Technology,0
Boeing,Tesla Motors,0
Airbnb,Space Exploration Technologies,0
JP Morgan Chase,JP Morgan Chase,1
PayPal,Netflix Streaming,0
Massachusetts Institute of Technology,Massachusetts Institute of Technology,1
Lockheed Martin,Lockheed Martin,1
Massachusetts Institute of Technology,Massachusetts Institute of Technology,1
YouTube Videos,YouTube Videos,1
Citibank,Citibank,1
Goldman Sachs,Goldman Sachs,1
Deloitte Consulting,Elon Musk,0
International Business Machines,International Business Machines,1
Intel Corporation,Intel Corporation,1
Morgan Stanley,McKinsey & Company,0
Johnson & Johnson,Johnson & Johnson,1
JP Morgan Chase,Snapchat,0
Intel Corporation,Tesla Energy,0
Airbnb,PayPal,0
Space Exploration Technologies,Blue Origin,0
Harvard University,Harvard University,1
California Institute of Technology,Adobe Systems,0
SpaceX,SpaceX,1
Google LLC,McKinsey & Company,0
Deloitte Consulting,Siemens,0
Intel Corporation,Intel Corporation,1
Boston Consulting Group,Boston Consulting Group,1
Netflix Streaming,Twitter,0
Goldman Sachs,YouTube Videos,0
Citibank,Citibank,1
Twitter,Twitter,1
Boston Consulting Group,Spotify,0
Deloitte Consulting,Apple Inc,0
Lockheed Martin,Goldman Sachs,0
Deloitte Consulting,Boston Dynamics,0
Spotify,Deloitte Consulting,0
Intel Corporation,California Institute of Technology,0
Massachusetts Institute of Technology,Lyft Inc,0
Boston Dynamics,Boston Dynamics,1
Jane Doe,Jane Doe,1
Morgan Stanley,International Business Machines,0
Pfizer Pharmaceuticals,Spotify,0
Uber Technologies,Uber Technologies,1
SpaceX,McKinsey & Company,0
Morgan Stanley,Microsoft Corporation,0
Deloitte Consulting,Deloitte Consulting,1
Space Exploration Technologies,Space Exploration Technologies,1
Raytheon Technologies,McKinsey & Company,0
Wall Street,Wall Street,1
Lockheed Martin,Lockheed Martin,1
Facebook Meta,McKinsey & Company,0
NASA,John Smith,0
Tesla Motors,Tesla Motors,1
Amazon.com,Intel Corporation,0
Goldman Sachs,Adobe Systems,0
Elon Musk,Elon Musk,1
McKinsey & Company,Lockheed Martin,0
Jane Doe,Jane Doe,1
Google LLC,PayPal,0
Wall Street,Intel Corporation,0
NASA,NASA,1
Pfizer Pharmaceuticals,Pfizer Pharmaceuticals,1
Snapchat,Snapchat,1
Twitter,Twitter,1
Accenture,Amazon.com,0
Lockheed Martin,Harvard University,0
Morgan Stanley,Cisco Systems,0
NASA,NASA,1
Twitter,Twitter,1
John Smith,Citibank,0
Uber Technologies,John Smith,0
Uber Technologies,Uber Technologies,1
International Business Machines,Samsung Electronics,0
Twitter,California Institute of Technology,0
McKinsey & Company,Morgan Stanley,0
NASA,NASA,1
Pfizer Pharmaceuticals,Pfizer Pharmaceuticals,1
Microsoft Corporation,Microsoft Corporation,1
Johnson & Johnson,Johnson & Johnson,1
Oracle Corporation,Massachusetts Institute of Technology,0
Accenture,Elon Musk,0
Jane Doe,Uber Technologies,0
Adobe Systems,New York City,0
Tesla Energy,Tesla Energy,1
John Smith,Apple Inc,0
Elon Musk,Cisco Systems,0
Moderna Inc,McKinsey & Company,0
JP Morgan Chase,JP Morgan Chase,1
Space Exploration Technologies,Microsoft Corporation,0
NASA,Raytheon Technologies,0
Tesla Energy,JP Morgan Chase,0
Microsoft Corporation,Microsoft Corporation,1
SpaceX,SpaceX,1
International Business Machines,International Business Machines,1
AMD Inc,AMD Inc,1
New York City,New York City,1
Oracle Corporation,Oracle Corporation,1
Jane Doe,New York City,0
Jane Doe,Siemens,0
Netflix Streaming,Cisco Systems,0
Tesla Energy,Tesla Energy,1
Twitter,Twitter,1
Amazon.com,Amazon.com,1
Spotify,Apple Inc,0
Moderna Inc,Citibank,0
AMD Inc,AMD Inc,1
Johnson & Johnson,Pfizer Pharmaceuticals,0
Twitter,Twitter,1
Amazon.com,JP Morgan Chase,0
Microsoft Corporation,Microsoft Corporation,1
Johnson & Johnson,Johnson & Johnson,1
Goldman Sachs,Goldman Sachs,1
Goldman Sachs,Pfizer Pharmaceuticals,0
Siemens,Moderna Inc,0
Google LLC,SpaceX,0
Deloitte Consulting,Moderna Inc,0
Airbnb,Airbnb,1
Accenture,Accenture,1
Twitter,Twitter,1
John Smith,John Smith,1
Lockheed Martin,Moderna Inc,0
Amazon.com,General Electric,0
John Smith,Netflix Streaming,0
YouTube Videos,YouTube Videos,1
Pfizer Pharmaceuticals,Amazon.com,0
Berkshire Hathaway,Berkshire Hathaway,1
Spotify,Spotify,1
Microsoft Corporation,Microsoft Corporation,1
Tesla Energy,McKinsey & Company,0
Amazon.com,Airbnb,0
Twitter,Morgan Stanley,0
Goldman Sachs,Citibank,0
Samsung Electronics,General Electric,0
Boston Consulting Group,Boston Consulting Group,1
Facebook Meta,SpaceX,0
Elon Musk,Harvard University,0
Facebook Meta,Goldman Sachs,0
Google LLC,Google LLC,1
Twitter,SpaceX,0
Oracle Corporation,Airbnb,0
Spotify,Massachusetts Institute of Technology,0
Wall Street,Wall Street,1
Apple Inc,Apple Inc,1
Cisco Systems,Berkshire Hathaway,0
Intel Corporation,Intel Corporation,1
Massachusetts Institute of Technology,Lyft Inc,0
NASA,NASA,1
Johnson & Johnson,Raytheon Technologies,0
Moderna Inc,Moderna Inc,1
Johnson & Johnson,Johnson & Johnson,1
Airbnb,Boston Dynamics,0
New York City,New York City,1
Johnson & Johnson,Spotify,0
Samsung Electronics,Samsung Electronics,1
Citibank,Boston Dynamics,0
Morgan Stanley,Morgan Stanley,1
Citibank,Citibank,1
Tesla Motors,Facebook Meta,0
PayPal,Oracle Corporation,0
Oracle Corporation,Oracle Corporation,1
Citibank,Boston Dynamics,0
Space Exploration Technologies,Space Exploration Technologies,1
Uber Technologies,Siemens,0
Johnson & Johnson,Berkshire Hathaway,0
Intel Corporation,Cisco Systems,0
Raytheon Technologies,Raytheon Technologies,1
Tesla Energy,Tesla Energy,1
Spotify,Spotify,1
New York City,New York City,1
Boston Consulting Group,Boston Consulting Group,1
McKinsey & Company,McKinsey & Company,1
Microsoft Corporation,Space Exploration Technologies,0
Boston Consulting Group,Boston Consulting Group,1
Lyft Inc,Lyft Inc,1
Boston Dynamics,Apple Inc,0
Uber Technologies,General Electric,0
Tesla Energy,Amazon.com,0
NASA,NASA,1
Lockheed Martin,Lockheed Martin,1
McKinsey & Company,McKinsey & Company,1
AMD Inc,Boston Consulting Group,0
Twitter,Twitter,1
Massachusetts Institute of Technology,Boeing,0
Amazon.com,Amazon.com,1
Elon Musk,Space Exploration Technologies,0
Uber Technologies,Uber Technologies,1
Lockheed Martin,Blue Origin,0
PayPal,PayPal,1
Oracle Corporation,California Institute of Technology,0
Elon Musk,Siemens,0
Morgan Stanley,Morgan Stanley,1
Twitter,Twitter,1
PayPal,PayPal,1
Siemens,Siemens,1
Microsoft Corporation,Boeing,0
SpaceX,Accenture,0
Intel Corporation,Intel Corporation,1
Uber Technologies,Uber Technologies,1
Moderna Inc,Moderna Inc,1
Facebook Meta,McKinsey & Company,0
Jane Doe,PayPal,0
Boeing,Citibank,0
New York City,New York City,1
JP Morgan Chase,Boston Consulting Group,0
Tesla Energy,Tesla Energy,1
Lyft Inc,Lyft Inc,1
Cisco Systems,Oracle Corporation,0
Massachusetts Institute of Technology,Massachusetts Institute of Technology,1
Raytheon Technologies,Citibank,0
JP Morgan Chase,JP Morgan Chase,1
Blue Origin,Blue Origin,1
NASA,Citibank,0
JP Morgan Chase,JP Morgan Chase,1
John Smith,Harvard University,0
Apple Inc,Accenture,0
Boeing,Boeing,1
Accenture,Intel Corporation,0
Google LLC,AMD Inc,0
John Smith,John Smith,1
Spotify,Spotify,1
Tesla Motors,Massachusetts Institute of Technology,0
Citibank,Citibank,1
Wall Street,Adobe Systems,0
Goldman Sachs,Uber Technologies,0
Pfizer Pharmaceuticals,Netflix Streaming,0
PayPal,PayPal,1
Berkshire Hathaway,Samsung Electronics,0
New York City,Boeing,0
Morgan Stanley,Boston Consulting Group,0
SpaceX,SpaceX,1
Boston Consulting Group,SpaceX,0
Apple Inc,Apple Inc,1
Oracle Corporation,Oracle Corporation,1
Lyft Inc,Harvard University,0
Facebook Meta,Facebook Meta,1
California Institute of Technology,Uber Technologies,0
Blue Origin,Blue Origin,1
Moderna Inc,Boston Dynamics,0
Goldman Sachs,Goldman Sachs,1
Accenture,Accenture,1
Berkshire Hathaway,Amazon.com,0
Pfizer Pharmaceuticals,Pfizer Pharmaceuticals,1
Apple Inc,Apple Inc,1
Wall Street,AMD Inc,0
Moderna Inc,Moderna Inc,1
International Business Machines,International Business Machines,1
Citibank,Intel Corporation,0
Snapchat,Snapchat,1
Snapchat,Snapchat,1
McKinsey & Company,McKinsey & Company,1
Morgan Stanley,Tesla Motors,0
International Business Machines,YouTube Videos,0
Google LLC,Google LLC,1
Accenture,Microsoft Corporation,0
Boeing,Boeing,1
Cisco Systems,Cisco Systems,1
International Business Machines,General Electric,0
Adobe Systems,John Smith,0
Massachusetts Institute of Technology,Massachusetts Institute of Technology,1
Intel Corporation,Intel Corporation,1
Siemens,Siemens,1
Tesla Motors,Tesla Motors,1
Boeing,Boeing,1
California Institute of Technology,Tesla Energy,0
Snapchat,Snapchat,1
Raytheon Technologies,Boeing,0
California Institute of Technology,California Institute of Technology,1
Lockheed Martin,NASA,0
Harvard University,Moderna Inc,0
Microsoft Corporation,Massachusetts Institute of Technology,0
Elon Musk,Elon Musk,1
Massachusetts Institute of Technology,Massachusetts Institute of Technology,1
Space Exploration Technologies,Moderna Inc,0
Morgan Stanley,Twitter,0
Wall Street,New York City,0
Moderna Inc,Moderna Inc,1
Moderna Inc,Moderna Inc,1
Lockheed Martin,Lockheed Martin,1
Wall Street,Wall Street,1
Samsung Electronics,New York City,0
Moderna Inc,Moderna Inc,1
Twitter,Twitter,1
Lyft Inc,Lyft Inc,1
Accenture,General Electric,0
Boston Dynamics,Boston Dynamics,1
Facebook Meta,Facebook Meta,1
Facebook Meta,Adobe Systems,0
Tesla Motors,New York City,0
Harvard University,Blue Origin,0
Citibank,Citibank,1
Tesla Motors,Netflix Streaming,0
Pfizer Pharmaceuticals,Intel Corporation,0
Netflix Streaming,Citibank,0
Amazon.com,Amazon.com,1
Lockheed Martin,Lockheed Martin,1
Raytheon Technologies,Raytheon Technologies,1
New York City,New York City,1
Lyft Inc,Lyft Inc,1
Blue Origin,Massachusetts Institute of Technology,0
Johnson & Johnson,Apple Inc,0
YouTube Videos,International Business Machines,0
Space Exploration Technologies,NASA,0
Jane Doe,International Business Machines,0
Moderna Inc,Cisco Systems,0
Tesla Energy,McKinsey & Company,0
Tesla Energy,Tesla Energy,1
PayPal,PayPal,1
Deloitte Consulting,Deloitte Consulting,1
Microsoft Corporation,Lockheed Martin,0
SpaceX,SpaceX,1
Siemens,Siemens,1
JP Morgan Chase,JP Morgan Chase,1
Accenture,Goldman Sachs,0
Siemens,Siemens,1
Cisco Systems,Cisco Systems,1
Elon Musk,Elon Musk,1
New York City,Amazon.com,0
NASA,General Electric,0
Lockheed Martin,Raytheon Technologies,0
Apple Inc,Apple Inc,1
General Electric,General Electric,1
Berkshire Hathaway,Boeing,0
Spotify,Adobe Systems,0
Citibank,Boston Consulting Group,0
SpaceX,Boston Dynamics,0
Wall Street,Wall Street,1
Boston Consulting Group,Elon Musk,0
PayPal,PayPal,1
Tesla Energy,Intel Corporation,0
Boeing,Jane Doe,0
International Business Machines,International Business Machines,1
Goldman Sachs,McKinsey & Company,0
Apple Inc,Space Exploration Technologies,0
Lyft Inc,Microsoft Corporation,0
Snapchat,SpaceX,0
Uber Technologies,Uber Technologies,1
Morgan Stanley,Morgan Stanley,1
Harvard University,Harvard University,1
Johnson & Johnson,Johnson & Johnson,1
AMD Inc,PayPal,0
Boston Consulting Group,Moderna Inc,0
Berkshire Hathaway,Boston Consulting Group,0
NASA,Jane Doe,0
Apple Inc,Spotify,0
Microsoft Corporation,Pfizer Pharmaceuticals,0
SpaceX,SpaceX,1
Deloitte Consulting,Deloitte Consulting,1
Oracle Corporation,Oracle Corporation,1
Johnson & Johnson,Johnson & Johnson,1
Morgan Stanley,Morgan Stanley,1
Boston Dynamics,Pfizer Pharmaceuticals,0
Lyft Inc,AMD Inc,0
McKinsey & Company,Netflix Streaming,0
Twitter,Lockheed Martin,0
Facebook Meta,Facebook Meta,1
International Business Machines,Tesla Motors,0
Boeing,Boeing,1
Accenture,Accenture,1
Accenture,Accenture,1
Pfizer Pharmaceuticals,Pfizer Pharmaceuticals,1
McKinsey & Company,McKinsey & Company,1
Massachusetts Institute of Technology,Lockheed Martin,0
Samsung Electronics,Samsung Electronics,1
Citibank,Citibank,1
Lockheed Martin,Lockheed Martin,1
Google LLC,Google LLC,1
Berkshire Hathaway,Berkshire Hathaway,1
Morgan Stanley,Morgan Stanley,1
Jane Doe,PayPal,0
Tesla Motors,Microsoft Corporation,0
McKinsey & Company,McKinsey & Company,1
Netflix Streaming,Amazon.com,0
Blue Origin,Boeing,0
Wall Street,Wall Street,1
Lockheed Martin,Lockheed Martin,1
Cisco Systems,Raytheon Technologies,0
